,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
510,2024-09-23T20:45:23.119Z,-4.6309,102.6663,62.263,4.8,mb,56.0,133.0,0.394,0.59,us,us6000ntyq,2024-10-05T14:29:31.040Z,"92 km SW of Pagar Alam, Indonesia",earthquake,7.19,5.564,0.074,57.0,reviewed,us,us
513,2024-09-23T19:51:02.613Z,-0.1045,122.844,143.0,6.0,mww,115.0,21.0,0.934,1.01,us,us6000ntxc,2024-10-07T18:30:00.477Z,"75 km SSW of Gorontalo, Indonesia",earthquake,6.82,1.911,0.037,72.0,reviewed,us,us
515,2024-09-23T19:08:46.299Z,-32.8496,179.7443,193.229,4.9,mww,59.0,53.0,4.099,0.79,us,us6000ntwy,2024-10-05T14:11:03.040Z,south of the Kermadec Islands,earthquake,8.72,6.207,0.086,13.0,reviewed,us,us
517,2024-09-23T17:59:13.585Z,16.3389,-61.9901,144.312,4.4,mb,69.0,34.0,0.454,0.74,us,us6000ntwl,2024-10-05T14:02:31.040Z,"24 km WNW of Pointe-Noire, Guadeloupe",earthquake,6.02,3.865,0.061,79.0,reviewed,us,us
518,2024-09-23T17:52:22.508Z,11.8755,143.5716,10.0,4.5,mb,42.0,117.0,2.122,0.47,us,us7000nguj,2024-10-05T14:46:06.040Z,"194 km SW of Merizo Village, Guam",earthquake,10.53,1.139,0.093,34.0,reviewed,us,us
519,2024-09-23T16:24:20.011Z,-2.3093,100.7892,75.227,4.4,mb,30.0,184.0,2.971,0.88,us,us7000nguh,2024-09-30T19:38:36.040Z,"72 km WSW of Sungai Penuh, Indonesia",earthquake,10.18,7.608,0.139,15.0,reviewed,us,us
520,2024-09-23T16:19:10.583Z,-10.6276,113.3531,10.0,4.4,mb,27.0,94.0,2.284,0.75,us,us6000ntwa,2024-09-30T19:31:10.040Z,"259 km S of Kencong, Indonesia",earthquake,5.29,1.919,0.134,16.0,reviewed,us,us
526,2024-09-23T12:50:10.284Z,30.0396,141.9109,28.977,4.7,mb,31.0,122.0,2.943,0.37,us,us6000ntut,2024-10-06T05:21:44.040Z,"Izu Islands, Japan region",earthquake,11.49,6.535,0.102,29.0,reviewed,us,us
530,2024-09-23T11:20:22.419Z,41.4242,84.0677,10.0,4.5,mb,29.0,119.0,3.891,0.96,us,us6000ntua,2024-10-07T05:50:54.040Z,"100 km ESE of Kuqa, China",earthquake,9.9,1.832,0.181,9.0,reviewed,us,us
535,2024-09-23T09:03:55.397Z,36.4543,139.7735,91.864,4.4,mb,23.0,134.0,1.268,0.89,us,us7000ngue,2024-09-30T11:49:52.040Z,"4 km NNW of Mibu, Japan",earthquake,7.19,8.814,0.24,5.0,reviewed,us,us
537,2024-09-23T08:17:01.076Z,-8.8806,158.0934,10.0,4.5,mb,33.0,84.0,1.913,0.59,us,us6000nttm,2024-09-23T14:13:06.040Z,"162 km ESE of Gizo, Solomon Islands",earthquake,9.55,1.885,0.109,27.0,reviewed,us,us
541,2024-09-23T06:53:48.404Z,43.6589,145.9943,97.282,4.5,mb,108.0,125.0,2.501,0.53,us,us6000ntt8,2024-09-23T07:53:04.040Z,"42 km SSE of Yuzhno-Kurilsk, Russia",earthquake,7.81,6.66,0.051,115.0,reviewed,us,us
543,2024-09-23T05:08:32.347Z,73.2192,6.4164,10.0,5.0,mb,98.0,33.0,5.552,0.8,us,us6000ntsy,2024-09-23T23:47:54.745Z,Greenland Sea,earthquake,4.3,1.881,0.046,148.0,reviewed,us,us
544,2024-09-23T04:27:50.417Z,-9.8711,159.4831,10.0,4.5,mb,17.0,132.0,0.628,0.48,us,us6000ntsw,2024-09-23T05:09:36.483Z,"32 km SW of Malango, Solomon Islands",earthquake,8.66,1.973,0.14,15.0,reviewed,us,us
546,2024-09-23T03:07:40.427Z,-25.8545,179.6887,550.155,4.9,mb,29.0,130.0,4.003,0.65,us,us6000ntsp,2024-09-23T05:17:26.040Z,south of the Fiji Islands,earthquake,14.13,12.815,0.096,34.0,reviewed,us,us
547,2024-09-23T02:47:49.838Z,-7.7107,147.147,10.0,4.7,mb,37.0,40.0,1.683,0.68,us,us6000ntsm,2024-09-23T04:23:46.040Z,"62 km SE of Wau, Papua New Guinea",earthquake,4.83,1.848,0.123,20.0,reviewed,us,us
548,2024-09-23T02:36:39.638Z,-29.716,-71.1656,66.367,5.4,mww,113.0,63.0,0.212,0.63,us,us6000ntsj,2024-10-07T20:03:45.337Z,"22 km NNE of La Serena, Chile",earthquake,5.61,1.2,0.051,37.0,reviewed,us,us
549,2024-09-23T02:14:52.087Z,-21.5378,-179.0409,584.27,4.4,mb,49.0,84.0,3.595,0.94,us,us6000ntsh,2024-09-23T02:34:01.040Z,Fiji region,earthquake,13.15,9.366,0.083,42.0,reviewed,us,us
551,2024-09-22T23:11:05.719Z,-20.5863,-178.165,535.243,4.7,mb,70.0,73.0,2.829,0.88,us,us6000ntrk,2024-09-22T23:27:01.040Z,Fiji region,earthquake,11.37,8.204,0.045,150.0,reviewed,us,us
552,2024-09-22T20:54:08.495Z,-12.0138,166.3965,35.0,4.4,mb,34.0,154.0,6.834,0.78,us,us7000nglb,2024-09-29T14:34:51.040Z,"156 km SSE of Lata, Solomon Islands",earthquake,11.34,1.932,0.105,26.0,reviewed,us,us
553,2024-09-22T20:42:35.850Z,-17.3948,66.5546,10.0,5.4,mww,80.0,44.0,3.826,0.53,us,us6000ntr4,2024-10-04T16:34:48.573Z,Mauritius - Reunion region,earthquake,7.37,1.737,0.073,18.0,reviewed,us,us
555,2024-09-22T20:13:43.928Z,-14.9991,-173.7841,35.0,4.5,mb,23.0,100.0,2.221,1.03,us,us7000ngl9,2024-09-29T14:19:19.040Z,"105 km N of Hihifo, Tonga",earthquake,13.7,1.917,0.15,13.0,reviewed,us,us
556,2024-09-22T19:48:13.423Z,13.2698,-89.5209,71.265,4.4,mb,34.0,176.0,0.388,0.52,us,us6000ntqm,2024-10-04T16:28:28.330Z,"32 km SW of La Libertad, El Salvador",earthquake,6.5,8.109,0.088,37.0,reviewed,us,us
557,2024-09-22T19:42:33.583Z,-19.5079,-66.678,257.208,4.9,mww,67.0,43.0,2.414,0.93,us,us6000ntqk,2024-10-04T16:20:38.040Z,"67 km S of Challapata, Bolivia",earthquake,7.07,5.9,0.071,19.0,reviewed,us,us
560,2024-09-22T18:46:38.394Z,-32.0284,-71.5608,53.804,5.0,mwr,84.0,69.0,0.498,0.69,us,us6000ntqb,2024-10-04T13:39:13.911Z,"56 km NNW of La Ligua, Chile",earthquake,4.7,5.156,0.045,48.0,reviewed,us,us
568,2024-09-22T14:19:44.602Z,-56.2016,-26.5802,48.628,4.4,mb,18.0,124.0,5.984,1.08,us,us7000ngl4,2024-09-27T16:23:08.040Z,South Sandwich Islands region,earthquake,15.31,7.224,0.139,15.0,reviewed,us,us
571,2024-09-22T12:43:35.055Z,37.7656,57.4138,10.0,4.8,mb,83.0,103.0,0.58,1.08,us,us6000ntp4,2024-10-01T12:24:01.040Z,"33 km NNE of Bojnūrd, Iran",earthquake,8.37,1.889,0.067,73.0,reviewed,us,us
574,2024-09-22T12:23:14.854Z,44.5285,17.63,14.197,4.6,mb,66.0,25.0,0.387,0.86,us,us6000ntnz,2024-10-01T11:38:17.040Z,"8 km ESE of Maslovare, Bosnia and Herzegovina",earthquake,1.8,4.639,0.092,35.0,reviewed,us,us
579,2024-09-22T10:57:36.722Z,-31.8874,-67.0955,119.95,4.5,mb,52.0,43.0,1.396,0.63,us,us6000ntnn,2024-10-01T11:03:29.040Z,"105 km NW of Villa General Roca, Argentina",earthquake,8.03,7.504,0.115,22.0,reviewed,us,us
585,2024-09-22T09:50:25.984Z,40.2978,24.2426,10.0,4.8,mb,103.0,31.0,2.341,0.8,us,us6000ntn7,2024-10-01T10:53:50.058Z,"4 km N of Karyes, Greece",earthquake,5.32,1.769,0.062,80.0,reviewed,us,us
591,2024-09-22T08:43:08.789Z,-41.2829,-87.9373,10.0,5.3,mww,64.0,96.0,10.508,1.31,us,us6000ntmw,2024-09-22T09:30:01.040Z,West Chile Rise,earthquake,10.86,1.873,0.062,25.0,reviewed,us,us
592,2024-09-22T08:22:45.914Z,5.7247,126.9841,133.14,4.4,mb,34.0,115.0,1.933,0.58,us,us6000ntmt,2024-09-22T08:44:38.040Z,"113 km SE of Pondaguitan, Philippines",earthquake,8.1,6.984,0.105,26.0,reviewed,us,us
601,2024-09-22T03:37:04.802Z,-27.3124,-72.0447,10.0,4.4,mb,31.0,159.0,1.237,0.88,us,us6000ntlu,2024-09-22T04:19:33.040Z,"169 km W of Copiapó, Chile",earthquake,4.51,1.944,0.154,13.0,reviewed,us,us
605,2024-09-22T03:06:22.162Z,14.5187,-60.7259,92.665,4.4,mb,30.0,145.0,0.472,0.72,us,us6000ntlr,2024-09-22T16:47:42.668Z,"12 km ESE of Le Vauclin, Martinique",earthquake,7.42,6.341,0.143,14.0,reviewed,us,us
610,2024-09-22T02:25:47.465Z,13.1845,-89.3949,75.266,5.1,mww,93.0,110.0,0.47,1.24,us,us6000ntl2,2024-09-23T17:09:56.040Z,"34 km SSW of La Libertad, El Salvador",earthquake,6.62,5.395,0.058,29.0,reviewed,us,us
612,2024-09-22T01:53:59.724Z,-24.1395,-67.134,186.193,4.4,mb,24.0,71.0,2.456,0.4,us,us6000ntkx,2024-09-22T03:09:59.040Z,"83 km W of San Antonio de los Cobres, Argentina",earthquake,8.63,18.251,0.203,7.0,reviewed,us,us
616,2024-09-21T23:58:45.741Z,37.6193,57.356,10.0,4.6,mb,45.0,103.0,0.678,0.78,us,us6000ntkf,2024-09-22T13:16:29.546Z,"16 km N of Bojnūrd, Iran",earthquake,6.35,1.901,0.085,41.0,reviewed,us,us
620,2024-09-21T21:24:27.190Z,-31.9213,-66.794,130.391,6.0,mww,130.0,41.0,1.654,0.99,us,us6000ntjh,2024-10-07T20:24:13.482Z,"88 km NNW of Villa General Roca, Argentina",earthquake,8.14,5.144,0.03,104.0,reviewed,us,us
625,2024-09-21T19:54:45.397Z,18.1125,-101.0743,71.333,4.7,mb,87.0,183.0,1.533,0.86,us,us6000ntiy,2024-09-21T22:34:14.809Z,"22 km SW of Placeres del Oro, Mexico",earthquake,4.76,8.368,0.029,350.0,reviewed,us,us
630,2024-09-21T17:44:08.570Z,-44.3157,-78.7355,10.0,4.4,mb,28.0,198.0,3.815,0.49,us,us6000ntid,2024-09-21T19:07:53.040Z,"Off the coast of Aisen, Chile",earthquake,8.5,1.98,0.241,5.0,reviewed,us,us
631,2024-09-21T17:21:18.704Z,51.2127,-178.4821,40.082,5.4,mww,328.0,34.0,0.4,0.97,us,us6000ntia,2024-10-07T19:50:08.972Z,"147 km WSW of Adak, Alaska",earthquake,3.73,3.963,0.043,53.0,reviewed,us,us
633,2024-09-21T16:41:36.538Z,10.6082,91.6041,10.0,4.9,mb,120.0,49.0,7.52,0.76,us,us6000nti2,2024-09-24T14:19:20.040Z,"171 km SW of Port Blair, India",earthquake,8.64,1.836,0.055,109.0,reviewed,us,us
634,2024-09-21T15:57:50.402Z,31.1565,140.9208,40.337,4.4,mb,67.0,132.0,2.167,0.54,us,us6000nthw,2024-09-21T18:51:42.040Z,"Izu Islands, Japan region",earthquake,5.78,7.628,0.076,51.0,reviewed,us,us
639,2024-09-21T14:42:44.531Z,36.1129,70.8054,112.973,4.5,mb,48.0,80.0,2.916,0.94,us,us6000nthh,2024-09-27T16:31:46.040Z,"77 km N of Pārūn, Afghanistan",earthquake,7.56,7.278,0.065,70.0,reviewed,us,us
640,2024-09-21T13:14:00.993Z,24.3065,141.4191,121.723,4.5,mb,37.0,110.0,2.862,0.77,us,us6000nth2,2024-09-27T19:17:12.040Z,"Volcano Islands, Japan region",earthquake,8.67,6.515,0.082,43.0,reviewed,us,us
643,2024-09-21T10:51:08.587Z,24.2283,121.6792,28.641,4.8,mwr,73.0,63.0,0.094,0.91,us,us6000ntgm,2024-09-22T00:47:10.030Z,"28 km NNE of Hualien City, Taiwan",earthquake,3.63,4.31,0.061,26.0,reviewed,us,us
652,2024-09-21T02:32:17.280Z,-29.039,-176.5546,10.0,5.6,mww,60.0,51.0,1.215,1.36,us,us6000ntf1,2024-09-23T14:46:30.278Z,Kermadec Islands region,earthquake,11.01,1.81,0.08,15.0,reviewed,us,us
656,2024-09-20T23:26:16.860Z,-8.4187,115.3556,10.0,4.6,mb,23.0,58.0,1.192,1.26,us,us6000ntee,2024-09-22T13:46:56.060Z,"11 km NW of Banjar Wangsian, Indonesia",earthquake,7.8,1.899,0.125,19.0,reviewed,us,us
657,2024-09-20T23:11:44.286Z,-31.3097,-68.686,108.782,4.6,mb,75.0,45.0,0.235,0.71,us,us6000nteb,2024-09-20T23:32:56.040Z,"20 km NW of Albardón, Argentina",earthquake,6.47,4.524,0.078,49.0,reviewed,us,us
658,2024-09-20T21:16:37.232Z,28.2031,57.0941,48.169,4.5,mb,70.0,109.0,3.341,0.89,us,us6000ntdx,2024-09-20T21:55:00.040Z,"117 km E of Ḩājjīābād, Iran",earthquake,11.41,11.02,0.065,68.0,reviewed,us,us
659,2024-09-20T21:15:15.743Z,13.0408,-88.8947,64.28,4.4,mb,120.0,165.0,0.669,1.12,us,us6000ntdw,2024-09-21T04:18:57.158Z,"45 km SW of Jiquilisco, El Salvador",earthquake,6.35,4.254,0.054,97.0,reviewed,us,us
660,2024-09-20T21:05:35.547Z,-32.8844,-177.2179,10.0,4.5,mb,18.0,206.0,3.661,0.97,us,us6000ntdu,2024-09-20T21:47:18.040Z,south of the Kermadec Islands,earthquake,12.5,1.999,0.156,12.0,reviewed,us,us
662,2024-09-20T17:31:23.709Z,22.0571,144.3618,54.97,4.9,mb,119.0,83.0,5.393,0.63,us,us6000ntca,2024-09-20T18:32:15.040Z,"Volcano Islands, Japan region",earthquake,9.05,6.653,0.053,116.0,reviewed,us,us
664,2024-09-20T17:02:08.998Z,-57.9268,-25.6305,91.488,4.7,mb,53.0,69.0,7.083,0.6,us,us6000ntcq,2024-09-20T19:15:43.040Z,South Sandwich Islands region,earthquake,7.01,5.5,0.097,32.0,reviewed,us,us
666,2024-09-20T16:44:46.468Z,-18.3588,-177.7407,628.362,4.6,mb,40.0,58.0,3.984,0.76,us,us6000ntbr,2024-09-27T19:23:28.040Z,Fiji region,earthquake,11.75,7.989,0.08,47.0,reviewed,us,us
667,2024-09-20T15:39:58.824Z,-12.8881,67.0372,10.0,4.5,mb,15.0,134.0,7.616,0.65,us,us6000nu3f,2024-09-27T16:42:37.040Z,Mid-Indian Ridge,earthquake,12.1,1.898,0.191,8.0,reviewed,us,us
668,2024-09-20T14:47:06.640Z,-6.8973,155.3986,70.743,4.7,mb,38.0,94.0,5.162,0.63,us,us6000ntae,2024-10-01T09:33:40.040Z,"64 km S of Panguna, Papua New Guinea",earthquake,11.18,7.468,0.061,81.0,reviewed,us,us
671,2024-09-20T12:22:20.612Z,33.2658,132.2769,50.772,4.9,mb,83.0,56.0,1.415,0.86,us,us6000nt9k,2024-10-01T07:51:24.040Z,"25 km SW of Yawatahama, Japan",earthquake,5.98,6.706,0.037,241.0,reviewed,us,us
672,2024-09-20T11:57:44.674Z,-19.8695,-178.3392,598.318,4.4,mb,40.0,68.0,3.505,0.76,us,us6000nt9f,2024-10-01T07:41:54.040Z,Fiji region,earthquake,13.17,5.347,0.094,35.0,reviewed,us,us
673,2024-09-20T10:51:55.008Z,-17.5802,-172.4362,10.0,5.2,mb,35.0,89.0,2.809,0.99,us,us6000nt99,2024-09-20T11:12:04.040Z,"202 km NE of Neiafu, Tonga",earthquake,7.59,1.895,0.097,35.0,reviewed,us,us
676,2024-09-20T09:30:28.269Z,-23.505,170.9479,10.0,4.7,mb,31.0,113.0,3.345,0.95,us,usd0011v12,2024-09-20T10:28:14.040Z,southeast of the Loyalty Islands,earthquake,11.31,1.915,0.112,24.0,reviewed,us,us
680,2024-09-20T06:15:55.461Z,52.7833,160.3067,44.646,4.7,mb,64.0,137.0,1.032,0.61,us,us6000nt8e,2024-09-20T06:38:50.040Z,"117 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.33,6.534,0.047,138.0,reviewed,us,us
682,2024-09-20T05:13:42.856Z,23.4315,142.4829,97.302,5.2,mww,68.0,79.0,3.658,0.94,us,us6000nt84,2024-09-20T05:31:32.040Z,"Volcano Islands, Japan region",earthquake,9.15,4.786,0.078,16.0,reviewed,us,us
686,2024-09-20T02:10:17.344Z,-21.3095,-68.8202,103.555,4.5,mb,47.0,61.0,0.624,1.14,us,us6000nt79,2024-09-20T02:39:44.040Z,"59 km W of Ollagüe, Chile",earthquake,6.52,6.404,0.088,38.0,reviewed,us,us
693,2024-09-20T00:45:29.473Z,-20.0304,-173.7944,10.0,4.6,mb,30.0,116.0,1.74,0.61,us,us6000nu31,2024-10-02T02:18:01.040Z,"63 km ESE of Fangale’ounga, Tonga",earthquake,8.25,1.545,0.145,14.0,reviewed,us,us
694,2024-09-20T00:44:04.954Z,1.1679,129.8627,10.0,4.4,mb,14.0,139.0,2.526,0.45,us,us6000nu33,2024-10-02T02:04:34.040Z,"171 km NNW of Waisai, Indonesia",earthquake,11.89,1.932,0.178,9.0,reviewed,us,us
695,2024-09-20T00:35:15.505Z,-22.5501,-179.5968,558.568,4.5,mb,48.0,91.0,4.306,0.81,us,us6000nt6y,2024-10-01T05:22:28.040Z,south of the Fiji Islands,earthquake,13.34,7.185,0.039,188.0,reviewed,us,us
697,2024-09-19T23:45:59.283Z,-17.9858,-174.4221,108.596,4.5,mb,45.0,75.0,4.4,0.55,us,us6000nt6a,2024-09-24T01:06:26.040Z,"87 km NNW of Neiafu, Tonga",earthquake,10.41,5.782,0.093,34.0,reviewed,us,us
698,2024-09-19T22:31:39.087Z,20.781,146.131,37.174,4.5,mb,61.0,95.0,5.519,0.77,us,us6000ntw4,2024-09-24T01:00:46.040Z,Mariana Islands region,earthquake,11.23,6.691,0.087,39.0,reviewed,us,us
699,2024-09-19T22:17:56.850Z,-27.0687,-177.686,10.0,4.4,mb,13.0,187.0,2.179,0.25,us,us6000ntw8,2024-09-24T00:19:28.040Z,Kermadec Islands region,earthquake,10.57,1.982,0.19,8.0,reviewed,us,us
705,2024-09-19T17:08:41.733Z,-7.2967,156.0739,65.714,4.9,mb,65.0,63.0,4.384,0.76,us,us6000nt3e,2024-09-29T16:54:14.040Z,"123 km NW of Gizo, Solomon Islands",earthquake,10.51,7.108,0.055,105.0,reviewed,us,us
706,2024-09-19T17:01:28.055Z,52.9686,88.166,10.438,4.4,mb,29.0,96.0,2.229,0.53,us,us6000nt3c,2024-09-29T16:51:04.432Z,"13 km ENE of Sheregesh, Russia",earthquake,9.46,5.648,0.109,24.0,reviewed,us,us
707,2024-09-19T16:14:17.087Z,0.7959,98.8208,86.281,4.9,mb,62.0,71.0,1.888,0.81,us,us6000nt31,2024-09-27T19:28:42.040Z,"81 km SW of Padangsidempuan, Indonesia",earthquake,9.45,6.288,0.055,104.0,reviewed,us,us
708,2024-09-19T10:17:52.738Z,-5.6036,82.6218,10.916,5.1,mb,84.0,45.0,11.361,0.83,us,us6000nt14,2024-09-19T10:39:44.040Z,South Indian Ocean,earthquake,9.81,2.15,0.061,86.0,reviewed,us,us
710,2024-09-19T09:18:10.282Z,35.6655,140.9251,43.764,4.6,mb,37.0,119.0,2.367,1.65,us,us6000nt0t,2024-09-19T11:13:06.040Z,"11 km SE of Hasaki, Japan",earthquake,7.18,7.662,0.105,27.0,reviewed,us,us
711,2024-09-19T08:41:00.245Z,-5.5393,147.4772,185.308,5.6,mww,79.0,68.0,3.474,0.63,us,us6000nt0l,2024-09-20T08:44:11.649Z,"119 km NNW of Finschhafen, Papua New Guinea",earthquake,7.38,5.144,0.073,18.0,reviewed,us,us
713,2024-09-19T07:45:35.941Z,2.1851,128.6573,44.036,5.2,mww,153.0,76.0,1.907,0.6,us,us6000nt0c,2024-10-06T17:54:59.744Z,"88 km NE of Tobelo, Indonesia",earthquake,7.36,6.415,0.093,11.0,reviewed,us,us
715,2024-09-19T06:50:44.512Z,-30.7247,-71.4777,42.956,4.4,mb,29.0,106.0,0.145,0.72,us,us6000nt07,2024-10-06T15:42:57.548Z,"30 km WSW of Ovalle, Chile",earthquake,6.08,6.853,0.143,14.0,reviewed,us,us
716,2024-09-19T05:39:35.910Z,-4.3804,143.3516,118.208,4.4,mb,20.0,123.0,3.229,0.39,us,us6000nt01,2024-10-06T15:02:57.040Z,"61 km ESE of Ambunti, Papua New Guinea",earthquake,9.82,8.529,0.124,19.0,reviewed,us,us
718,2024-09-19T05:20:57.102Z,10.461,91.6084,10.0,5.2,mww,170.0,45.0,7.415,0.49,us,us6000nszv,2024-10-06T14:21:15.715Z,"182 km SW of Port Blair, India",earthquake,7.6,1.829,0.071,19.0,reviewed,us,us
720,2024-09-19T04:57:49.282Z,12.4982,-88.1785,49.881,4.4,mb,152.0,160.0,0.975,0.85,us,us6000nszm,2024-09-19T05:23:09.040Z,"78 km S of Intipucá, El Salvador",earthquake,3.46,8.394,0.047,133.0,reviewed,us,us
723,2024-09-19T04:10:22.204Z,-27.5372,-176.415,39.73,4.7,mb,32.0,115.0,2.162,0.53,us,us6000ntvk,2024-09-29T04:17:17.040Z,Kermadec Islands region,earthquake,13.61,7.426,0.102,29.0,reviewed,us,us
724,2024-09-19T04:08:19.374Z,2.2683,122.7285,468.431,4.5,mb,54.0,69.0,2.26,0.7,us,us6000nszk,2024-09-19T04:23:54.040Z,"194 km N of Gorontalo, Indonesia",earthquake,11.11,3.753,0.086,40.0,reviewed,us,us
725,2024-09-19T04:01:59.772Z,-27.2853,-176.4398,27.531,4.7,mb,31.0,114.0,2.353,0.81,us,us6000ntvj,2024-09-29T03:57:20.040Z,Kermadec Islands region,earthquake,9.16,5.651,0.108,26.0,reviewed,us,us
726,2024-09-19T03:32:12.175Z,-43.8457,39.0093,10.0,4.6,mb,14.0,108.0,18.288,0.46,us,us6000ntvn,2024-09-29T04:22:42.040Z,Prince Edward Islands region,earthquake,15.87,1.918,0.151,13.0,reviewed,us,us
727,2024-09-19T03:22:54.293Z,34.7636,24.1273,47.784,4.4,mb,52.0,128.0,0.816,1.03,us,us6000nszh,2024-09-19T03:42:31.040Z,"8 km SSE of Kastrí, Greece",earthquake,7.04,9.389,0.093,33.0,reviewed,us,us
731,2024-09-18T21:33:31.334Z,41.6677,142.7353,54.256,4.5,mb,49.0,133.0,0.469,0.92,us,us6000nsyq,2024-09-18T21:47:59.040Z,"53 km SSW of Honchō, Japan",earthquake,6.84,7.059,0.079,47.0,reviewed,us,us
733,2024-09-18T20:45:50.885Z,43.2745,146.1205,82.563,4.7,mb,127.0,82.0,2.523,0.7,us,us6000nsyd,2024-09-22T21:30:46.040Z,"44 km E of Nemuro, Japan",earthquake,7.94,5.161,0.032,291.0,reviewed,us,us
734,2024-09-18T20:29:30.447Z,-22.7381,171.5682,9.895,4.5,mb,21.0,182.0,3.809,0.53,us,us6000ntb9,2024-09-22T21:06:33.040Z,southeast of the Loyalty Islands,earthquake,8.69,5.786,0.163,11.0,reviewed,us,us
736,2024-09-18T20:14:20.416Z,37.7009,71.6159,45.237,4.4,mb,49.0,108.0,1.78,0.77,us,us6000nsxz,2024-09-22T20:42:42.040Z,"24 km NNE of Khorugh, Tajikistan",earthquake,5.26,6.202,0.081,44.0,reviewed,us,us
737,2024-09-18T19:52:05.650Z,37.6369,71.6406,42.012,4.7,mb,88.0,39.0,1.842,0.58,us,us6000nsxt,2024-09-22T20:32:20.040Z,"18 km NNE of Khorugh, Tajikistan",earthquake,7.4,5.423,0.054,102.0,reviewed,us,us
743,2024-09-18T15:09:54.084Z,23.9553,122.472,34.195,4.6,mwr,68.0,89.0,0.709,0.96,us,us6000nsw5,2024-09-18T15:43:28.040Z,"78 km SW of Yonakuni, Japan",earthquake,4.94,4.495,0.075,17.0,reviewed,us,us
744,2024-09-18T14:44:00.013Z,28.9728,102.0325,10.0,4.4,mb,55.0,101.0,7.103,0.35,us,us6000ntb2,2024-09-25T11:36:51.040Z,"114 km S of Kangding, China",earthquake,11.96,1.873,0.081,47.0,reviewed,us,us
746,2024-09-18T13:15:45.522Z,29.7667,131.9853,10.0,4.6,mb,34.0,114.0,2.182,0.5,us,us6000ntb1,2024-09-25T06:22:57.040Z,"143 km SE of Nishinoomote, Japan",earthquake,4.92,1.885,0.141,15.0,reviewed,us,us
749,2024-09-18T12:08:15.514Z,31.9045,117.5888,10.0,4.9,mb,62.0,63.0,7.446,0.44,us,us6000nsvh,2024-10-06T13:30:54.976Z,"29 km E of Hefei, China",earthquake,7.88,1.751,0.087,41.0,reviewed,us,us
752,2024-09-18T11:59:05.066Z,-27.3318,-176.5097,10.0,4.6,mb,22.0,147.0,2.28,0.69,us,us6000ntb6,2024-10-06T12:25:31.040Z,Kermadec Islands region,earthquake,13.92,1.922,0.129,18.0,reviewed,us,us
753,2024-09-18T11:55:03.911Z,-27.2463,-176.755,10.0,5.0,mb,26.0,135.0,2.244,0.6,us,us6000ntbq,2024-10-06T12:22:00.040Z,Kermadec Islands region,earthquake,12.08,1.716,0.13,19.0,reviewed,us,us
754,2024-09-18T11:53:53.855Z,-27.4225,-176.6924,17.0,5.7,mww,79.0,66.0,2.118,0.75,us,us6000nsve,2024-10-07T18:16:24.197Z,Kermadec Islands region,earthquake,11.4,1.849,0.071,19.0,reviewed,us,us
756,2024-09-18T11:30:25.726Z,-7.4991,126.2869,10.0,4.5,mb,19.0,77.0,4.166,1.29,us,us6000ntay,2024-10-06T12:00:08.040Z,"109 km N of Baukau, Timor Leste",earthquake,6.44,1.874,0.171,10.0,reviewed,us,us
757,2024-09-18T11:26:56.937Z,-22.3871,171.5669,109.513,4.5,mb,23.0,117.0,3.817,0.56,us,us6000ntax,2024-10-06T06:41:57.040Z,southeast of the Loyalty Islands,earthquake,10.71,6.979,0.14,15.0,reviewed,us,us
758,2024-09-18T09:01:59.011Z,31.6965,141.6744,29.458,4.5,mb,36.0,121.0,2.116,0.66,us,us6000nsv4,2024-10-06T06:37:49.040Z,"Izu Islands, Japan region",earthquake,9.69,5.878,0.131,17.0,reviewed,us,us
760,2024-09-18T07:52:29.207Z,5.1823,-82.6363,10.0,4.7,mb,72.0,73.0,4.098,1.58,us,us6000nsuw,2024-09-18T08:28:14.040Z,south of Panama,earthquake,7.33,1.901,0.038,211.0,reviewed,us,us
766,2024-09-18T03:46:53.091Z,11.61,144.4767,10.0,4.5,mb,25.0,145.0,2.004,0.43,us,us6000ntas,2024-09-22T22:07:44.040Z,"184 km S of Merizo Village, Guam",earthquake,9.72,1.9,0.144,14.0,reviewed,us,us
767,2024-09-18T02:49:20.091Z,-33.3722,-179.0989,35.0,4.5,mb,27.0,113.0,4.22,0.8,us,us6000ntar,2024-09-22T21:13:55.040Z,south of the Kermadec Islands,earthquake,9.16,1.904,0.145,14.0,reviewed,us,us
768,2024-09-18T02:41:06.667Z,-7.2397,107.5693,10.0,5.1,mww,91.0,33.0,0.235,0.82,us,us6000nsu0,2024-09-22T20:53:07.043Z,"16 km ESE of Banjar, Indonesia",earthquake,5.45,1.756,0.11,8.0,reviewed,us,us
770,2024-09-18T00:25:13.808Z,-25.7298,47.2709,10.0,5.2,mb,73.0,53.0,6.68,0.94,us,us6000nstp,2024-09-18T10:21:25.177Z,"82 km SSE of Tôlanaro, Madagascar",earthquake,10.16,1.856,0.071,65.0,reviewed,us,us
772,2024-09-17T22:38:42.264Z,38.1786,38.6732,10.0,4.4,mb,86.0,44.0,0.536,1.27,us,us6000nstd,2024-09-19T03:55:53.040Z,"16 km NNE of Sincik, Turkey",earthquake,3.57,1.906,0.095,32.0,reviewed,us,us
